Gmt time,Open,High,Low,Close,% change
02.01.2017 22:00:00.000,115.8,116.31,114.76,116.15,0.30224525
03.01.2017 22:00:00.000,115.95,116.51,115.82,116.02,0.06037085
04.01.2017 22:00:00.000,115.9,116.86,115.87,116.61,0.612597066
05.01.2017 22:00:00.000,116.78,118.16,116.48,117.91,0.967631444
08.01.2017 22:00:00.000,117.94,119.43,117.94,118.99,0.890283195
09.01.2017 22:00:00.000,118.77,119.37,118.31,119.11,0.286267576
10.01.2017 22:00:00.000,118.7,119.93,118.6,119.75,0.884582982
11.01.2017 22:00:00.000,118.8,119.3,118.21,119.25,0.378787879
12.01.2017 22:00:00.000,119.1,119.62,118.81,119.04,-0.050377834
16.01.2017 22:00:00.000,118.22,120.23,118.22,120,1.5056674
17.01.2017 22:00:00.000,120,120.5,119.72,119.99,-0.008333333
18.01.2017 22:00:00.000,119.4,120.08,119.38,119.78,0.318257956
19.01.2017 22:00:00.000,120.41,120.41,119.74,120,-0.34050328
22.01.2017 22:00:00.000,120,120.81,119.77,120.08,0.066666667
23.01.2017 22:00:00.000,119.55,120.1,119.51,119.97,0.35131744
24.01.2017 22:00:00.000,120.28,122.1,120.28,121.88,1.330229465
25.01.2017 22:00:00.000,121.7,122.44,121.6,121.94,0.197206245
26.01.2017 22:00:00.000,122.14,122.35,121.6,121.95,-0.155559194
29.01.2017 22:00:00.000,120.93,121.63,120.66,121.63,0.578847267
30.01.2017 22:00:00.000,121.03,121.39,120.63,121.35,0.264397257
31.01.2017 22:00:00.000,127.1,130.49,127.08,128.75,1.298190401
01.02.2017 22:00:00.000,127.99,129.39,127.79,128.53,0.421907962
02.02.2017 22:00:00.000,128.31,129.18,128.165,129.08,0.600109111
05.02.2017 22:00:00.000,128.95,130.5,128.92,130.29,1.039162466
06.02.2017 22:00:00.000,130.5,132.09,130.45,131.53,0.789272031
07.02.2017 22:00:00.000,131.3,132.22,131.22,132.04,0.563594821
08.02.2017 22:00:00.000,131.67,132.44,131.13,132.42,0.569605833
09.02.2017 22:00:00.000,132.42,132.93,132.06,132.12,-0.22655188
12.02.2017 22:00:00.000,133,133.815,132.76,133.29,0.218045113
13.02.2017 22:00:00.000,133.46,135.09,133.26,135.02,1.168889555
14.02.2017 22:00:00.000,135.5,136.26,134.63,135.51,0.007380074
15.02.2017 22:00:00.000,135.68,135.9,134.84,135.345,-0.246904481
16.02.2017 22:00:00.000,135.1,135.78,135.1,135.72,0.458919319
20.02.2017 22:00:00.000,136.245,136.75,135.98,136.7,0.333957209
21.02.2017 22:00:00.000,136.41,137.12,136.12,137.11,0.513158859
22.02.2017 22:00:00.000,137.4,137.48,136.3,136.53,-0.633187773
23.02.2017 22:00:00.000,135.9,136.66,135.28,136.66,0.559234731
26.02.2017 22:00:00.000,137,137.43,136.29,136.93,-0.051094891
27.02.2017 22:00:00.000,137.08,137.435,136.7,136.99,-0.065655092
28.02.2017 22:00:00.000,137.9,140.145,137.6,139.79,1.370558376
01.03.2017 22:00:00.000,140,140.27,138.76,138.96,-0.742857143
02.03.2017 22:00:00.000,138.79,139.82,138.6,139.78,0.713307875
05.03.2017 22:00:00.000,139.33,139.77,138.6,139.34,0.007177205
06.03.2017 22:00:00.000,139.06,139.98,138.79,139.52,0.330792464
07.03.2017 22:00:00.000,138.92,139.79,138.83,139,0.0575871
08.03.2017 22:00:00.000,138.74,138.76,137.07,138.68,-0.04324636
09.03.2017 22:00:00.000,139.27,139.35,138.64,139.14,-0.093343864
12.03.2017 22:00:00.000,138.82,139.43,138.82,139.2,0.273735773
13.03.2017 22:00:00.000,139.3,139.65,138.85,138.99,-0.222541278
14.03.2017 22:00:00.000,139.42,140.75,139.03,140.46,0.745947497
15.03.2017 22:00:00.000,140.74,141.02,140.27,140.69,-0.035526503
16.03.2017 22:00:00.000,141,141,139.89,139.99,-0.716312057
19.03.2017 22:00:00.000,140.46,141.5,140.23,141.46,0.711946462
20.03.2017 22:00:00.000,142.15,142.8,139.74,139.84,-1.625043968
21.03.2017 22:00:00.000,139.83,141.59,139.79,141.42,1.137095044
22.03.2017 22:00:00.000,141.26,141.58,140.62,140.92,-0.240690925
23.03.2017 22:00:00.000,141.5,141.74,140.37,140.64,-0.607773852
26.03.2017 22:00:00.000,139.39,141.21,138.62,140.88,1.068943253
27.03.2017 22:00:00.000,140.89,144.03,140.62,143.8,2.065441124
