Gmt time,Open,High,Low,Close,% change
02.01.2017 22:00:00.000,38.94,39.48,38.81,39.31,0.950179764
03.01.2017 22:00:00.000,39.42,39.54,39.18,39.35,-0.177574835
04.01.2017 22:00:00.000,39.3,39.72,39.25,39.7,1.017811705
05.01.2017 22:00:00.000,39.76,40.39,39.65,40.31,1.383299799
08.01.2017 22:00:00.000,40.32,40.5,40.15,40.33,0.024801587
09.01.2017 22:00:00.000,40.39,40.45,40.18,40.24,-0.371379054
10.01.2017 22:00:00.000,40.25,40.4,40.08,40.4,0.372670807
11.01.2017 22:00:00.000,40.36,40.37,39.96,40.32,-0.099108028
12.01.2017 22:00:00.000,40.37,40.56,40.34,40.39,0.049541739
16.01.2017 22:00:00.000,40.35,40.36,40.02,40.23,-0.29739777
17.01.2017 22:00:00.000,40.29,40.31,40.05,40.3,0.024820055
18.01.2017 22:00:00.000,40.26,40.47,40.09,40.11,-0.372578241
19.01.2017 22:00:00.000,40.35,40.35,40.11,40.25,-0.247831475
22.01.2017 22:00:00.000,40.3,41.04,40.21,40.97,1.662531017
23.01.2017 22:00:00.000,41.12,41.3,40.9,41.19,0.170233463
24.01.2017 22:00:00.000,41.48,41.79,41.28,41.78,0.723240116
25.01.2017 22:00:00.000,41.89,41.89,41.35,41.61,-0.668417283
26.01.2017 22:00:00.000,41.73,42.07,41.03,41.17,-1.34196022
29.01.2017 22:00:00.000,40.73,40.79,39.99,40.12,-1.497667567
30.01.2017 22:00:00.000,39.84,40.05,39.53,39.84,0
31.01.2017 22:00:00.000,39.99,40.05,39.56,39.78,-0.525131283
01.02.2017 22:00:00.000,39.73,40.12,39.6,39.93,0.503397936
02.02.2017 22:00:00.000,40.1,40.3,40.02,40.07,-0.074812968
05.02.2017 22:00:00.000,39.99,40.08,39.78,40.07,0.200050013
06.02.2017 22:00:00.000,40.1,40.53,40.1,40.35,0.623441397
07.02.2017 22:00:00.000,40.35,40.59,40.17,40.42,0.173482032
08.02.2017 22:00:00.000,40.48,40.53,40.23,40.48,0
09.02.2017 22:00:00.000,40.59,40.76,40.49,40.68,0.22172949
12.02.2017 22:00:00.000,40.8,41.04,40.78,40.96,0.392156863
13.02.2017 22:00:00.000,40.95,41.15,40.81,41.02,0.170940171
14.02.2017 22:00:00.000,40.97,41.15,40.92,40.95,-0.048816207
15.02.2017 22:00:00.000,41,41.22,40.96,41.21,0.512195122
16.02.2017 22:00:00.000,41.15,41.4,41.09,41.4,0.607533414
20.02.2017 22:00:00.000,41.48,41.67,41.42,41.58,0.241080039
21.02.2017 22:00:00.000,41.43,41.66,41.43,41.54,0.265508086
22.02.2017 22:00:00.000,41.51,41.62,41.15,41.57,0.144543483
23.02.2017 22:00:00.000,41.39,41.45,41.21,41.43,0.096641701
26.02.2017 22:00:00.000,41.23,41.52,41.21,41.46,0.557846228
27.02.2017 22:00:00.000,41.28,41.4,41.02,41.16,-0.290697674
28.02.2017 22:00:00.000,41.44,41.81,41.38,41.76,0.772200772
01.03.2017 22:00:00.000,41.69,41.71,41.48,41.53,-0.38378508
02.03.2017 22:00:00.000,41.53,41.57,41.3,41.45,-0.192631832
05.03.2017 22:00:00.000,41.35,41.44,41.12,41.39,0.096735187
06.03.2017 22:00:00.000,41.37,41.67,41.35,41.6,0.555958424
07.03.2017 22:00:00.000,41.68,41.91,41.6,41.77,0.215930902
08.03.2017 22:00:00.000,41.8,42.1,41.72,41.93,0.311004785
09.03.2017 22:00:00.000,42.16,42.24,41.98,42.16,0
12.03.2017 22:00:00.000,42.2,42.42,42.16,42.28,0.18957346
13.03.2017 22:00:00.000,42.18,42.36,42.04,42.28,0.237079184
14.03.2017 22:00:00.000,42.38,42.43,42.04,42.36,-0.047192072
15.03.2017 22:00:00.000,42.45,42.54,42.31,42.44,-0.023557126
16.03.2017 22:00:00.000,42.58,42.67,42.36,42.61,0.070455613
19.03.2017 22:00:00.000,42.5,42.5,42.26,42.42,-0.188235294
20.03.2017 22:00:00.000,42.57,42.67,41.46,41.52,-2.466525722
21.03.2017 22:00:00.000,41.6,41.78,41.36,41.48,-0.288461538
22.03.2017 22:00:00.000,41,41.12,40.62,40.88,-0.292682927
23.03.2017 22:00:00.000,41,41.1,40.45,40.72,-0.682926829
26.03.2017 22:00:00.000,40.35,41.08,40.18,40.98,1.56133829
27.03.2017 22:00:00.000,41.02,41.3,40.71,41.05,0.073135056
28.03.2017 22:00:00.000,41.25,41.63,41.14,41.57,0.775757576
29.03.2017 22:00:00.000,41.68,41.68,41.45,41.58,-0.239923225
30.03.2017 22:00:00.000,41.45,41.58,41.37,41.48,0.072376357
02.04.2017 22:00:00.000,41.46,42.04,41.46,41.93,1.133622769
03.04.2017 22:00:00.000,41.57,41.76,41.47,41.73,0.384892952
04.04.2017 22:00:00.000,41.78,42.12,41.55,41.57,-0.502632839
05.04.2017 22:00:00.000,41.62,41.82,41.32,41.39,-0.552618933
06.04.2017 22:00:00.000,41.4,41.41,41.05,41.23,-0.410628019
09.04.2017 22:00:00.000,41.27,41.47,41.19,41.24,-0.072692028
10.04.2017 22:00:00.000,41.24,41.36,40.86,41.17,-0.169738118
11.04.2017 22:00:00.000,41.1,41.33,41.05,41.22,0.291970803
12.04.2017 22:00:00.000,41.27,41.32,41.07,41.18,-0.218076084
16.04.2017 22:00:00.000,41.25,41.89,41.22,41.86,1.478787879
17.04.2017 22:00:00.000,41.71,41.94,41.67,41.84,0.311675857
18.04.2017 22:00:00.000,41.99,42.11,41.81,41.91,-0.190521553
19.04.2017 22:00:00.000,42.07,42.26,41.97,42.08,0.023769907
20.04.2017 22:00:00.000,42.14,42.19,42.04,42.16,0.047460845
23.04.2017 22:00:00.000,42.56,43.17,42.51,43.14,1.362781955
24.04.2017 22:00:00.000,43.25,43.75,43.14,43.62,0.855491329
25.04.2017 22:00:00.000,43.71,43.79,43.39,43.59,-0.274536719
26.04.2017 22:00:00.000,43.68,43.77,43.52,43.71,0.068681319
27.04.2017 22:00:00.000,45.55,45.84,45.29,45.3,-0.54884742
30.04.2017 22:00:00.000,45.14,45.78,45.1,45.63,1.085511741
01.05.2017 22:00:00.000,45.48,46.03,45.48,45.82,0.747581354
02.05.2017 22:00:00.000,45.65,46.4,45.65,46.35,1.533406353
03.05.2017 22:00:00.000,46.3,46.78,46.23,46.58,0.60475162
04.05.2017 22:00:00.000,46.68,46.75,46.26,46.36,-0.685518423
07.05.2017 22:00:00.000,46.31,46.85,46.27,46.72,0.88533794
08.05.2017 22:00:00.000,46.85,46.87,46.48,46.61,-0.512273212
09.05.2017 22:00:00.000,46.6,46.6,46.26,46.44,-0.343347639
10.05.2017 22:00:00.000,46.3,46.62,46.16,46.53,0.496760259
11.05.2017 22:00:00.000,46.67,46.67,46.4,46.61,-0.128562246
14.05.2017 22:00:00.000,46.65,46.91,46.47,46.85,0.428724544
15.05.2017 22:00:00.000,47,47.15,46.88,47.15,0.319148936
16.05.2017 22:00:00.000,46.78,46.97,45.91,45.98,-1.710132535
17.05.2017 22:00:00.000,46.04,46.66,45.94,46.51,1.020851434
18.05.2017 22:00:00.000,46.57,46.88,46.56,46.7,0.279149667
21.05.2017 22:00:00.000,46.77,47.09,46.76,47.09,0.684199273
22.05.2017 22:00:00.000,47.4,47.56,47.14,47.44,0.084388186
23.05.2017 22:00:00.000,47.65,47.75,47.48,47.75,0.209863589
24.05.2017 22:00:00.000,47.87,48.63,47.78,48.48,1.274284521
25.05.2017 22:00:00.000,48.49,48.73,48.25,48.57,0.164982471
29.05.2017 22:00:00.000,48.52,48.81,48.48,48.79,0.556471558
30.05.2017 22:00:00.000,48.76,48.96,48.05,48.24,-1.066447908
31.05.2017 22:00:00.000,48.45,48.57,48,48.35,-0.206398349
01.06.2017 22:00:00.000,48.47,48.78,48.31,48.78,0.639570869
04.06.2017 22:00:00.000,48.83,49.34,48.76,49.18,0.716772476
05.06.2017 22:00:00.000,49.16,49.41,48.76,48.83,-0.671277461
06.06.2017 22:00:00.000,48.98,49.21,48.79,49.05,0.142915476
07.06.2017 22:00:00.000,49.12,49.22,48.86,49.17,0.101791531
08.06.2017 22:00:00.000,49.23,49.23,46.79,47.49,-3.534430225
11.06.2017 22:00:00.000,46.98,47.47,45.82,47.15,0.361856109
12.06.2017 22:00:00.000,47.6,48,47.23,47.67,0.147058824
13.06.2017 22:00:00.000,48,48.04,47.11,47.54,-0.958333333
14.06.2017 22:00:00.000,46.7,47.15,46.25,47.12,0.899357602
15.06.2017 22:00:00.000,47.07,47.1,46.59,46.99,-0.169959635
18.06.2017 22:00:00.000,47.5,48,47.46,47.87,0.778947368
19.06.2017 22:00:00.000,47.88,48.08,47.5,47.53,-0.730994152
20.06.2017 22:00:00.000,47.68,48,47.56,47.97,0.608221477
21.06.2017 22:00:00.000,47.94,48.04,47.75,47.85,-0.187734668
22.06.2017 22:00:00.000,47.84,48.3,47.76,48.28,0.919732441
25.06.2017 22:00:00.000,48.5,48.65,47.55,47.61,-1.835051546
26.06.2017 22:00:00.000,47.12,47.41,46.35,46.37,-1.591680815
27.06.2017 22:00:00.000,46.45,47.14,45.82,47.02,1.227125942
28.06.2017 22:00:00.000,46.53,46.56,45.53,45.89,-1.375456695
29.06.2017 22:00:00.000,46.3,46.3,45.43,45.44,-1.857451404
02.07.2017 22:00:00.000,45.56,45.67,44.75,44.94,-1.360842845
04.07.2017 22:00:00.000,45.09,45.72,44.95,45.59,1.108893324
05.07.2017 22:00:00.000,45.21,45.74,44.99,45.33,0.265428003
