Gmt time,Open,High,Low,Close,Volume
01.01.2024 17:00:00.000,1.32229,1.32485,1.32229,1.32413,385
01.01.2024 18:00:00.000,1.32412,1.32478,1.32397,1.32442,1886
01.01.2024 19:00:00.000,1.32441,1.32474,1.32422,1.32446,1505
01.01.2024 20:00:00.000,1.32448,1.3245,1.3228,1.32411,5421
01.01.2024 21:00:00.000,1.32412,1.32545,1.32389,1.32536,1795
01.01.2024 22:00:00.000,1.32534,1.32562,1.32499,1.32554,1359
01.01.2024 23:00:00.000,1.32553,1.32572,1.32537,1.32545,1978
02.01.2024 00:00:00.000,1.32543,1.32562,1.32355,1.32358,3507
02.01.2024 01:00:00.000,1.32358,1.32553,1.32356,1.32538,2289
02.01.2024 02:00:00.000,1.32539,1.32543,1.32379,1.32507,6094
02.01.2024 03:00:00.000,1.32506,1.3251,1.3228,1.32413,4433
02.01.2024 04:00:00.000,1.32413,1.32534,1.32409,1.32529,3080
02.01.2024 05:00:00.000,1.32533,1.32626,1.32478,1.32494,5425
02.01.2024 06:00:00.000,1.32494,1.32708,1.32479,1.32676,6789
02.01.2024 07:00:00.000,1.32674,1.32907,1.32665,1.32905,4375
02.01.2024 08:00:00.000,1.32906,1.33085,1.3289,1.32991,11183
02.01.2024 09:00:00.000,1.32991,1.33285,1.32989,1.33157,11467
02.01.2024 10:00:00.000,1.33159,1.33271,1.331,1.3312,15291
02.01.2024 11:00:00.000,1.3312,1.33195,1.33,1.33103,11203
02.01.2024 12:00:00.000,1.33103,1.33148,1.33023,1.33045,4102
02.01.2024 13:00:00.000,1.33045,1.33271,1.33045,1.33262,3994
02.01.2024 14:00:00.000,1.33262,1.33326,1.33217,1.33265,3999
02.01.2024 15:00:00.000,1.33263,1.33336,1.3324,1.33301,3616
02.01.2024 16:00:00.000,1.333,1.33311,1.33196,1.33196,1847
02.01.2024 17:00:00.000,1.33182,1.33227,1.33145,1.3321,1414
02.01.2024 18:00:00.000,1.33203,1.33228,1.332,1.33216,1351
02.01.2024 19:00:00.000,1.33216,1.33232,1.33174,1.33219,1268
02.01.2024 20:00:00.000,1.33218,1.33292,1.33198,1.3326,3536
02.01.2024 21:00:00.000,1.33259,1.33316,1.33246,1.33272,2921
02.01.2024 22:00:00.000,1.33274,1.33299,1.33247,1.33253,2060
02.01.2024 23:00:00.000,1.33254,1.33291,1.33244,1.33268,1337
03.01.2024 00:00:00.000,1.33269,1.33293,1.33246,1.33269,2431
03.01.2024 01:00:00.000,1.33269,1.33273,1.33209,1.33245,3293
03.01.2024 02:00:00.000,1.33243,1.33337,1.33223,1.33242,3443
03.01.2024 03:00:00.000,1.33241,1.33336,1.33225,1.33248,7808
03.01.2024 04:00:00.000,1.3325,1.3333,1.33233,1.3325,5368
03.01.2024 05:00:00.000,1.33251,1.33349,1.33231,1.33342,4094
03.01.2024 06:00:00.000,1.33341,1.33459,1.33305,1.33428,4015
03.01.2024 07:00:00.000,1.33427,1.33483,1.33367,1.33449,5822
03.01.2024 08:00:00.000,1.3345,1.33638,1.33447,1.33617,8608
03.01.2024 09:00:00.000,1.33616,1.33642,1.33471,1.33505,9412
03.01.2024 10:00:00.000,1.33519,1.33673,1.33369,1.33506,13374
03.01.2024 11:00:00.000,1.33505,1.33614,1.33427,1.33578,7260
03.01.2024 12:00:00.000,1.33579,1.3363,1.3355,1.33604,3575
03.01.2024 13:00:00.000,1.33607,1.33624,1.33497,1.33596,4872
03.01.2024 14:00:00.000,1.33606,1.33715,1.33474,1.33553,11510
03.01.2024 15:00:00.000,1.33553,1.33584,1.33507,1.33575,5952
03.01.2024 16:00:00.000,1.33576,1.33586,1.33512,1.33513,2353
03.01.2024 17:00:00.000,1.33509,1.3352,1.33462,1.33506,1160
03.01.2024 18:00:00.000,1.33505,1.33521,1.3347,1.33479,1348
